主项名称:残疾人基本型辅助器具适配,不包括业务办理项, 不包括情形,所需材料为:残疾人证（0-17岁儿童无残疾人证可持县级以上具有诊断资质的医院出具的医学诊断）
主项名称:残疾人证换领,包括业务办理项:残疾类别（等级）未发生变化、档案齐全（户籍地申请）, 该业务办理项不包括情形,所需材料为:残疾人证
主项名称:残疾人证换领,包括业务办理项:残疾类别（等级）未发生变化、档案齐全（户籍地申请）, 该业务办理项不包括情形,所需材料为:旧证换新申请表
主项名称:残疾人证换领,包括业务办理项:残损换新（户籍地）, 该业务办理项不包括情形,所需材料为:居民身份证
主项名称:残疾人证换领,包括业务办理项:残损换新（户籍地）, 该业务办理项不包括情形,所需材料为:残损换新申请表
主项名称:残疾人证换领,包括业务办理项:残损换新（户籍地）, 该业务办理项不包括情形,所需材料为:证件照
主项名称:残疾人证换领,包括业务办理项:残损换新（户籍地）, 该业务办理项不包括情形,所需材料为:户口簿
主项名称:残疾人证换领,包括业务办理项:残损换新（户籍地）, 该业务办理项不包括情形,所需材料为:残疾人证
主项名称:残疾人证换领,包括业务办理项:残疾类别（等级）未发生变化、档案齐全（居住地申请）, 该业务办理项不包括情形,所需材料为:居住证
主项名称:残疾人证换领,包括业务办理项:残疾类别（等级）未发生变化、档案齐全（居住地申请）, 该业务办理项不包括情形,所需材料为:居民身份证
主项名称:残疾人证换领,包括业务办理项:残疾类别（等级）未发生变化、档案齐全（居住地申请）, 该业务办理项不包括情形,所需材料为:证件照
主项名称:残疾人证换领,包括业务办理项:残疾类别（等级）未发生变化、档案齐全（居住地申请）, 该业务办理项不包括情形,所需材料为:户口簿
主项名称:残疾人证换领,包括业务办理项:残疾类别（等级）未发生变化、档案齐全（居住地申请）, 该业务办理项不包括情形,所需材料为:残疾人证
主项名称:残疾人证换领,包括业务办理项:残疾类别（等级）未发生变化、档案齐全（居住地申请）, 该业务办理项不包括情形,所需材料为:旧证换新申请表
主项名称:残疾人证换领,包括业务办理项:残疾类别（等级）发生变化或档案不全（居住地申请）, 该业务办理项不包括情形,所需材料为:残疾评定表
主项名称:残疾人证换领,包括业务办理项:残疾类别（等级）发生变化或档案不全（居住地申请）, 该业务办理项不包括情形,所需材料为:居住证
主项名称:残疾人证换领,包括业务办理项:残疾类别（等级）发生变化或档案不全（居住地申请）, 该业务办理项不包括情形,所需材料为:居民身份证
主项名称:残疾人证换领,包括业务办理项:残疾类别（等级）发生变化或档案不全（居住地申请）, 该业务办理项不包括情形,所需材料为:证件照
主项名称:残疾人证换领,包括业务办理项:残疾类别（等级）发生变化或档案不全（居住地申请）, 该业务办理项不包括情形,所需材料为:户口簿
主项名称:残疾人证换领,包括业务办理项:残疾类别（等级）发生变化或档案不全（居住地申请）, 该业务办理项不包括情形,所需材料为:残疾人证
主项名称:残疾人证换领,包括业务办理项:残疾类别（等级）发生变化或档案不全（居住地申请）, 该业务办理项不包括情形,所需材料为:旧证换新申请表
主项名称:残疾人证注销,包括业务办理项:申请人自行注销残疾人证（户籍地申请）, 该业务办理项不包括情形,所需材料为:居民身份证
主项名称:残疾人证注销,包括业务办理项:申请人自行注销残疾人证（户籍地申请）, 该业务办理项不包括情形,所需材料为:残疾人证
主项名称:残疾人证注销,包括业务办理项:申请人自行注销残疾人证（户籍地申请）, 该业务办理项不包括情形,所需材料为:注销申请表
主项名称:残疾人证注销,包括业务办理项:持证人死亡注销残疾人证（户籍地申请）, 该业务办理项不包括情形,所需材料为:居民身份证
主项名称:残疾人证注销,包括业务办理项:持证人死亡注销残疾人证（户籍地申请）, 该业务办理项不包括情形,所需材料为:残疾人证
主项名称:残疾人证注销,包括业务办理项:持证人死亡注销残疾人证（户籍地申请）, 该业务办理项不包括情形,所需材料为:注销申请表
主项名称:残疾人证注销,包括业务办理项:持证人死亡注销残疾人证（户籍地申请）, 该业务办理项不包括情形,所需材料为:持证人死亡证明
主项名称:残疾人证注销,包括业务办理项:持证人死亡注销残疾人证（居住地申请）, 该业务办理项不包括情形,所需材料为:居住证
主项名称:残疾人证注销,包括业务办理项:持证人死亡注销残疾人证（居住地申请）, 该业务办理项不包括情形,所需材料为:居民身份证
主项名称:残疾人证注销,包括业务办理项:持证人死亡注销残疾人证（居住地申请）, 该业务办理项不包括情形,所需材料为:残疾人证
主项名称:残疾人证注销,包括业务办理项:持证人死亡注销残疾人证（居住地申请）, 该业务办理项不包括情形,所需材料为:注销申请表
主项名称:残疾人证注销,包括业务办理项:持证人死亡注销残疾人证（居住地申请）, 该业务办理项不包括情形,所需材料为:持证人死亡证明
主项名称:残疾人证注销,包括业务办理项:申请人自行注销残疾人证（居住地申请）, 该业务办理项不包括情形,所需材料为:居住证
主项名称:残疾人证注销,包括业务办理项:申请人自行注销残疾人证（居住地申请）, 该业务办理项不包括情形,所需材料为:居民身份证
主项名称:残疾人证注销,包括业务办理项:申请人自行注销残疾人证（居住地申请）, 该业务办理项不包括情形,所需材料为:残疾人证
主项名称:残疾人证注销,包括业务办理项:申请人自行注销残疾人证（居住地申请）, 该业务办理项不包括情形,所需材料为:注销申请表
主项名称:残疾人证注销,包括业务办理项:申请人自行注销残疾人证（居住地申请）, 该业务办理项不包括情形,所需材料为:持证人死亡证明
主项名称:残疾人证迁移,包括业务办理项:户籍地申请, 该业务办理项不包括情形,所需材料为:户籍簿
主项名称:残疾人证迁移,包括业务办理项:户籍地申请, 该业务办理项不包括情形,所需材料为:残疾人证
主项名称:残疾人证迁移,包括业务办理项:户籍地申请, 该业务办理项不包括情形,所需材料为:证件照
主项名称:残疾人证迁移,包括业务办理项:户籍地申请, 该业务办理项不包括情形,所需材料为:属地变更申请表
主项名称:残疾人证迁移,包括业务办理项:户籍地申请, 该业务办理项不包括情形,所需材料为:居民身份证
主项名称:残疾人证迁移,包括业务办理项:居住地申请, 该业务办理项不包括情形,所需材料为:户籍簿
主项名称:残疾人证迁移,包括业务办理项:居住地申请, 该业务办理项不包括情形,所需材料为:居住证
主项名称:残疾人证迁移,包括业务办理项:居住地申请, 该业务办理项不包括情形,所需材料为:残疾人证
主项名称:残疾人证迁移,包括业务办理项:居住地申请, 该业务办理项不包括情形,所需材料为:证件照
主项名称:残疾人证迁移,包括业务办理项:居住地申请, 该业务办理项不包括情形,所需材料为:属地变更申请表
主项名称:残疾人证迁移,包括业务办理项:居住地申请, 该业务办理项不包括情形,所需材料为:居民身份证
主项名称:残疾人证新办,包括业务办理项:除智力、精神类残疾人和未成年人以外申请残疾人证（户籍地申请）, 该业务办理项不包括情形,所需材料为:户口簿
主项名称:残疾人证新办,包括业务办理项:除智力、精神类残疾人和未成年人以外申请残疾人证（户籍地申请）, 该业务办理项不包括情形,所需材料为:残疾评定表
主项名称:残疾人证新办,包括业务办理项:除智力、精神类残疾人和未成年人以外申请残疾人证（户籍地申请）, 该业务办理项不包括情形,所需材料为:居民身份证
主项名称:残疾人证新办,包括业务办理项:除智力、精神类残疾人和未成年人以外申请残疾人证（户籍地申请）, 该业务办理项不包括情形,所需材料为:残疾人证申请表
主项名称:残疾人证新办,包括业务办理项:除智力、精神类残疾人和未成年人以外申请残疾人证（户籍地申请）, 该业务办理项不包括情形,所需材料为:证件照
主项名称:残疾人证新办,包括业务办理项:智力、精神类残疾人和未成年人申请残疾人证（居住地申请）, 该业务办理项不包括情形,所需材料为:户口簿
主项名称:残疾人证新办,包括业务办理项:智力、精神类残疾人和未成年人申请残疾人证（居住地申请）, 该业务办理项不包括情形,所需材料为:残疾评定表
主项名称:残疾人证新办,包括业务办理项:智力、精神类残疾人和未成年人申请残疾人证（居住地申请）, 该业务办理项不包括情形,所需材料为:居民身份证
主项名称:残疾人证新办,包括业务办理项:智力、精神类残疾人和未成年人申请残疾人证（居住地申请）, 该业务办理项不包括情形,所需材料为:残疾人证申请表
主项名称:残疾人证新办,包括业务办理项:智力、精神类残疾人和未成年人申请残疾人证（居住地申请）, 该业务办理项不包括情形,所需材料为:证件照
主项名称:残疾人证新办,包括业务办理项:智力、精神类残疾人和未成年人申请残疾人证（居住地申请）, 该业务办理项不包括情形,所需材料为:居住证
主项名称:残疾人证新办,包括业务办理项:智力、精神类残疾人和未成年人申请残疾人证（居住地申请）, 该业务办理项不包括情形,所需材料为:监护人材料
主项名称:残疾人证新办,包括业务办理项:智力、精神类残疾人和未成年人申请残疾人证（户籍地申请）, 该业务办理项不包括情形,所需材料为:户口簿
主项名称:残疾人证新办,包括业务办理项:智力、精神类残疾人和未成年人申请残疾人证（户籍地申请）, 该业务办理项不包括情形,所需材料为:残疾评定表
主项名称:残疾人证新办,包括业务办理项:智力、精神类残疾人和未成年人申请残疾人证（户籍地申请）, 该业务办理项不包括情形,所需材料为:居民身份证
主项名称:残疾人证新办,包括业务办理项:智力、精神类残疾人和未成年人申请残疾人证（户籍地申请）, 该业务办理项不包括情形,所需材料为:残疾人证申请表
主项名称:残疾人证新办,包括业务办理项:智力、精神类残疾人和未成年人申请残疾人证（户籍地申请）, 该业务办理项不包括情形,所需材料为:证件照
主项名称:残疾人证新办,包括业务办理项:智力、精神类残疾人和未成年人申请残疾人证（户籍地申请）, 该业务办理项不包括情形,所需材料为:监护人材料
主项名称:残疾人证新办,包括业务办理项:除智力、精神类残疾人和未成年人以外申请残疾人证（居住地申请）, 该业务办理项不包括情形,所需材料为:户口簿
主项名称:残疾人证新办,包括业务办理项:除智力、精神类残疾人和未成年人以外申请残疾人证（居住地申请）, 该业务办理项不包括情形,所需材料为:残疾评定表
主项名称:残疾人证新办,包括业务办理项:除智力、精神类残疾人和未成年人以外申请残疾人证（居住地申请）, 该业务办理项不包括情形,所需材料为:居民身份证
主项名称:残疾人证新办,包括业务办理项:除智力、精神类残疾人和未成年人以外申请残疾人证（居住地申请）, 该业务办理项不包括情形,所需材料为:残疾人证申请表
主项名称:残疾人证新办,包括业务办理项:除智力、精神类残疾人和未成年人以外申请残疾人证（居住地申请）, 该业务办理项不包括情形,所需材料为:证件照
主项名称:残疾人证新办,包括业务办理项:除智力、精神类残疾人和未成年人以外申请残疾人证（居住地申请）, 该业务办理项不包括情形,所需材料为:居住证
主项名称:全国残疾人按比例就业情况联网认证,不包括业务办理项, 不包括情形,所需材料为:用人单位为残疾人职工支付工资的凭证
主项名称:全国残疾人按比例就业情况联网认证,不包括业务办理项, 不包括情形,所需材料为:在职残疾人职工的中华人民共和国残疾人证或者中华人民共和国残疾军人证
主项名称:全国残疾人按比例就业情况联网认证,不包括业务办理项, 不包括情形,所需材料为:申报资料真实性承诺书
主项名称:全国残疾人按比例就业情况联网认证,不包括业务办理项, 不包括情形,所需材料为:与残疾人职工签订的劳动合同（或用工协议）或机关事业单位编制手册
主项名称:全国残疾人按比例就业情况联网认证,不包括业务办理项, 不包括情形,所需材料为:残疾人职工缴纳社会保险费凭证
主项名称:被拐儿童身份证明,不包括业务办理项, 不包括情形,所需材料为:个人有效身份证件或身份证明
主项名称:居民身份证发还,不包括业务办理项, 不包括情形,所需材料为:其他有效身份证件
主项名称:居民身份证发还,不包括业务办理项, 不包括情形,所需材料为:户口簿
主项名称:居民身份证解除挂失,不包括业务办理项, 不包括情形,所需材料为:身份证
主项名称:居民身份证解除挂失,不包括业务办理项, 不包括情形,所需材料为:户口簿
主项名称:临时身份证明,不包括业务办理项, 不包括情形,所需材料为:本人有效身份证件
主项名称:居民身份证挂失申报,不包括业务办理项, 不包括情形,所需材料为:居民户口簿
主项名称:临时居民身份证申领,不包括业务办理项, 不包括情形,所需材料为:居民户口簿
主项名称:临时居民身份证申领,不包括业务办理项, 不包括情形,所需材料为:居民身份证领取凭
主项名称:丢失补领身份证,包括业务办理项:丢失异地补领居民身份证, 该业务办理项不包括情形,所需材料为:户口簿
主项名称:丢失补领身份证,包括业务办理项:丢失异地补领居民身份证, 该业务办理项不包括情形,所需材料为:房屋权属证明
主项名称:丢失补领身份证,包括业务办理项:丢失补领居民身份证, 该业务办理项不包括情形,所需材料为:居民户口簿
主项名称:损坏换领身份证,包括业务办理项:损坏换领居民身份证, 该业务办理项不包括情形,所需材料为:居民身份证
主项名称:损坏换领身份证,包括业务办理项:损坏异地换领居民身份证, 该业务办理项不包括情形,所需材料为:房屋权属证明
主项名称:损坏换领身份证,包括业务办理项:损坏异地换领居民身份证, 该业务办理项不包括情形,所需材料为:户口簿
主项名称:有效期满换领身份证,包括业务办理项:有效期满异地换领居民身份证, 该业务办理项不包括情形,所需材料为:效期满的居民身份证
主项名称:有效期满换领身份证,包括业务办理项:有效期满异地换领居民身份证, 该业务办理项不包括情形,所需材料为:劳动合同
主项名称:有效期满换领身份证,包括业务办理项:有效期满异地换领居民身份证, 该业务办理项不包括情形,所需材料为:户口簿
主项名称:有效期满换领身份证,包括业务办理项:有效期满异地换领居民身份证, 该业务办理项不包括情形,所需材料为:房屋权属证明
主项名称:有效期满换领身份证,包括业务办理项:有效期满异地换领居民身份证, 该业务办理项不包括情形,所需材料为:学生证
主项名称:有效期满换领身份证,包括业务办理项:有效期满换领居民身份证, 该业务办理项不包括情形,所需材料为:居民身份证
主项名称:首次申领居民身份证,不包括业务办理项, 不包括情形,所需材料为:居民户口簿
主项名称:首次申领居民身份证,不包括业务办理项, 不包括情形,所需材料为:监护人居民身份证
主项名称:户口簿分立户申领,不包括业务办理项, 不包括情形,所需材料为:房屋产权管理部门发放的能够证明房屋所有权或者使用权证明材料之一
主项名称:户口簿分立户申领,不包括业务办理项, 不包括情形,所需材料为:居民户口簿或居民身份证
主项名称:户口登记本市（县）其他住址项目变更、更正,不包括业务办理项, 不包括情形,所需材料为:《房屋产权证》或《不动产登记证》
主项名称:户口登记本市（县）其他住址项目变更、更正,不包括业务办理项, 不包括情形,所需材料为:商品房买卖合同
主项名称:户口迁移审批,包括业务办理项:随军家属户口迁入, 该业务办理项不包括情形,所需材料为:干部家属随军审批表
主项名称:户口迁移审批,包括业务办理项:随军家属户口迁入, 该业务办理项不包括情形,所需材料为:居民身份证
主项名称:户口迁移审批,包括业务办理项:随军家属户口迁入, 该业务办理项不包括情形,所需材料为:居民户口簿
主项名称:户口迁移审批,包括业务办理项:被大中专院校录取毕业生迁移户口, 该业务办理项不包括情形,所需材料为:居民户口簿
主项名称:户口迁移审批,包括业务办理项:被大中专院校录取毕业生迁移户口, 该业务办理项不包括情形,所需材料为:普通高等学校毕业证
主项名称:户口迁移审批,包括业务办理项:被大中专院校录取毕业生迁移户口, 该业务办理项不包括情形,所需材料为:毕业生就业报到证
主项名称:户口迁移审批,包括业务办理项:未落实就业单位大中专毕业生户口迁入, 该业务办理项不包括情形,所需材料为:户口迁移证
主项名称:户口迁移审批,包括业务办理项:未落实就业单位大中专毕业生户口迁入, 该业务办理项不包括情形,所需材料为:毕业证
主项名称:户口迁移审批,包括业务办理项:往届大中专毕业生户口迁入, 该业务办理项不包括情形,所需材料为:毕业证
主项名称:户口迁移审批,包括业务办理项:往届大中专毕业生户口迁入, 该业务办理项不包括情形,所需材料为:6个月以上的“三险”缴费证明
主项名称:户口迁移审批,包括业务办理项:已落实就业单位大中专毕业生户口迁入, 该业务办理项不包括情形,所需材料为:户口迁移证
主项名称:户口迁移审批,包括业务办理项:已落实就业单位大中专毕业生户口迁入, 该业务办理项不包括情形,所需材料为:毕业证(学历、学位证)
主项名称:户口迁移审批,包括业务办理项:已落实就业单位大中专毕业生户口迁入, 该业务办理项不包括情形,所需材料为:报到证
主项名称:户口迁移审批,包括业务办理项:个体工商户户口迁入, 该业务办理项不包括情形,所需材料为:营业执照
主项名称:户口迁移审批,包括业务办理项:个体工商户户口迁入, 该业务办理项不包括情形,所需材料为:居民户口簿
主项名称:户口迁移审批,包括业务办理项:个体工商户户口迁入, 该业务办理项不包括情形,所需材料为:居民身份证
主项名称:户口迁移审批,包括业务办理项:个体工商户户口迁入, 该业务办理项不包括情形,所需材料为:税务收据
主项名称:户口迁移审批,包括业务办理项:干部、职工调动户口迁入, 该业务办理项不包括情形,所需材料为:调动人员情况登记表
主项名称:户口迁移审批,包括业务办理项:干部、职工调动户口迁入, 该业务办理项不包括情形,所需材料为:省、市（州）组织、人事、劳动部门调令
主项名称:户口迁移审批,包括业务办理项:干部、职工调动户口迁入, 该业务办理项不包括情形,所需材料为:居民身份证
主项名称:户口迁移审批,包括业务办理项:干部、职工调动户口迁入, 该业务办理项不包括情形,所需材料为:居民户口簿
主项名称:户口迁移审批,包括业务办理项:被大中专院校录取学生迁移户口, 该业务办理项不包括情形,所需材料为:居民户口簿
主项名称:户口迁移审批,包括业务办理项:被大中专院校录取学生迁移户口, 该业务办理项不包括情形,所需材料为:新生录取通知书
主项名称:户口注销,包括业务办理项:虚假重复户口注销, 该业务办理项不包括情形,所需材料为:真实户口相关材料
主项名称:户口注销,包括业务办理项:虚假重复户口注销, 该业务办理项不包括情形,所需材料为:居民身份证
主项名称:户口注销,包括业务办理项:虚假重复户口注销, 该业务办理项不包括情形,所需材料为:居民户口簿
主项名称:户口注销,包括业务办理项:死亡注销户口, 该业务办理项不包括情形,所需材料为:死亡公民居民身份证
主项名称:户口注销,包括业务办理项:死亡注销户口, 该业务办理项不包括情形,所需材料为:死亡公民居民户口簿
主项名称:户口注销,包括业务办理项:死亡注销户口, 该业务办理项不包括情形,所需材料为:死亡医学证明书
主项名称:户口注销,包括业务办理项:加入外国国籍并自动丧失中国国籍注销户口, 该业务办理项不包括情形,所需材料为:户口簿
主项名称:户口注销,包括业务办理项:加入外国国籍并自动丧失中国国籍注销户口, 该业务办理项不包括情形,所需材料为:身份证
主项名称:户口注销,包括业务办理项:加入外国国籍并自动丧失中国国籍注销户口, 该业务办理项不包括情形,所需材料为:护照
主项名称:户口注销,包括业务办理项:出国境定居注销户口, 该业务办理项不包括情形,所需材料为:户口簿
主项名称:户口注销,包括业务办理项:出国境定居注销户口, 该业务办理项不包括情形,所需材料为:身份证
主项名称:户口注销,包括业务办理项:出国境定居注销户口, 该业务办理项不包括情形,所需材料为:护照
主项名称:户口簿损毁换领,不包括业务办理项, 不包括情形,所需材料为:损坏的户口簿
主项名称:户口簿损毁换领,不包括业务办理项, 不包括情形,所需材料为:居民身份证
主项名称:户口簿遗失补发,不包括业务办理项, 不包括情形,所需材料为:居民身份证
主项名称:户口登记项变更更正证明,不包括业务办理项, 不包括情形,所需材料为:身份证
主项名称:户口登记项变更更正证明,不包括业务办理项, 不包括情形,所需材料为:户口簿
主项名称:注销户口证明,不包括业务办理项, 不包括情形,所需材料为:户口簿
主项名称:注销户口证明,不包括业务办理项, 不包括情形,所需材料为:居民身份证
主项名称:居住证丢失补领,不包括业务办理项, 不包括情形,所需材料为:居民身份证
主项名称:居住证损坏换领,不包括业务办理项, 不包括情形,所需材料为:居住证原件
主项名称:居住证损坏换领,不包括业务办理项, 不包括情形,所需材料为:居民身份证
主项名称:居住证签注,不包括业务办理项, 不包括情形,所需材料为:本人到期或过期的居住证
主项名称:按照在当地有合法稳定就业条件申领居住证的,不包括业务办理项, 不包括情形,所需材料为:工商营业执照
主项名称:按照在当地有合法稳定就业条件申领居住证的,不包括业务办理项, 不包括情形,所需材料为:居民身份证
主项名称:按照在当地有合法稳定就业条件申领居住证的,不包括业务办理项, 不包括情形,所需材料为:劳动合同
主项名称:按照在当地有合法稳定就业条件申领居住证的,不包括业务办理项, 不包括情形,所需材料为:用人单位出具的劳动关系证明
主项名称:按照在当地连续就读条件申请居住证的,不包括业务办理项, 不包括情形,所需材料为:就读学校出具的其他能够证明连续就读的材料
主项名称:按照在当地连续就读条件申请居住证的,不包括业务办理项, 不包括情形,所需材料为:学生证
主项名称:按照在当地连续就读条件申请居住证的,不包括业务办理项, 不包括情形,所需材料为:居民身份证
主项名称:按照在当地有合法稳定住所条件申领居住证的,不包括业务办理项, 不包括情形,所需材料为:房屋产权证
主项名称:按照在当地有合法稳定住所条件申领居住证的,不包括业务办理项, 不包括情形,所需材料为:本人居民身份证
主项名称:按照在当地有合法稳定住所条件申领居住证的,不包括业务办理项, 不包括情形,所需材料为:房屋租赁合同
主项名称:居住证地址变更,不包括业务办理项, 不包括情形,所需材料为:有效居住地地址证明
主项名称:居住证地址变更,不包括业务办理项, 不包括情形,所需材料为:身份证
主项名称:居住证地址变更,不包括业务办理项, 不包括情形,所需材料为:居住证
